id,title,description,genre,cast,director,homepage,url,vote_average,year,poster_url,combined,rating,popularity
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",James Cameron,http://www.avatarmovie.com/,http://www.avatarmovie.com/,7.2,2009.0,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,"['Action', 'Adventure', 'Fantasy', 'Science Fiction'] In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. James Cameron ['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",7.59,52
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski,http://disney.go.com/disneypictures/pirates/,http://disney.go.com/disneypictures/pirates/,6.9,2007.0,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,"['Adventure', 'Fantasy', 'Action'] Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Gore Verbinski ['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",7.26,93
206647,Spectre,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Action', 'Adventure', 'Crime']","['Daniel Craig', 'Christoph Waltz', 'LÃ©a Seydoux']",Sam Mendes,http://www.sonypictures.com/movies/spectre/,http://www.sonypictures.com/movies/spectre/,6.3,2015.0,https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg,"['Action', 'Adventure', 'Crime'] A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. Sam Mendes ['Daniel Craig', 'Christoph Waltz', 'LÃ©a Seydoux']",6.558,15
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']","['Christian Bale', 'Michael Caine', 'Gary Oldman']",Christopher Nolan,http://www.thedarkknightrises.com/,http://www.thedarkknightrises.com/,7.6,2012.0,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,"['Action', 'Crime', 'Drama', 'Thriller'] Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Christopher Nolan ['Christian Bale', 'Michael Caine', 'Gary Oldman']",7.784,72
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",Andrew Stanton,http://movies.disney.com/john-carter,http://movies.disney.com/john-carter,6.1,2012.0,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,"['Action', 'Adventure', 'Science Fiction'] John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Andrew Stanton ['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",6.34,61
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain â€“ including the shape-shifting Sandman. While Spider-Manâ€™s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Sam Raimi,http://www.sonypictures.com/movies/spider-man3/,http://www.sonypictures.com/movies/spider-man3/,5.9,2007.0,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,"['Fantasy', 'Action', 'Adventure'] The seemingly invincible Spider-Man goes up against an all-new crop of villain â€“ including the shape-shifting Sandman. While Spider-Manâ€™s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. Sam Raimi ['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",6.439,21
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",Byron Howard,http://disney.go.com/disneypictures/tangled/,http://disney.go.com/disneypictures/tangled/,7.4,2010.0,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg,"['Animation', 'Family'] When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Byron Howard ['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",7.609,83
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Joss Whedon,http://marvel.com/movies/movie/193/avengers_age_of_ultron,http://marvel.com/movies/movie/193/avengers_age_of_ultron,7.3,2015.0,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,"['Action', 'Adventure', 'Science Fiction'] When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. Joss Whedon ['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",7.271,87
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Adventure', 'Fantasy', 'Family']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",David Yates,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,7.4,2009.0,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,"['Adventure', 'Fantasy', 'Family'] As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. David Yates ['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",7.683,75
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before.","['Action', 'Adventure', 'Fantasy']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Zack Snyder,http://www.batmanvsupermandawnofjustice.com/,http://www.batmanvsupermandawnofjustice.com/,5.7,2016.0,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,"['Action', 'Adventure', 'Fantasy'] Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before. Zack Snyder ['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",5.98,75
